Throughput,IndexDif,Distance,Width
3.97075653,2.584962501,250,50
4.840753747,2.584962501,250,50
5.755395683,4,250,50
3.734827264,4,250,50
4.987531172,4,250,50
6.134969325,4,250,50
5.333333333,4,250,50
5.532503458,4,250,50
2.711864407,4,250,50
4.376367615,4,250,50
5.208333333,4,250,50
4.414080066,2.807354922,250,50
4.240717405,2.807354922,250,50
4.056871275,2.807354922,250,50
4.798897303,2.807354922,250,50
3.71835089,2.807354922,250,50
5.058297157,2.807354922,250,50
4.122400767,2.807354922,250,50
3.157339855,3.510961919,208,50
3.638302507,3.510961919,208,50
4.62577328,3.510961919,208,50
5.271714594,3.510961919,208,50
5.671990177,3.510961919,208,50
3.853964785,3.510961919,208,50
5.23243207,3.510961919,208,50
6.624456451,3.510961919,208,50
4.219912773,2.367371066,208,50
5.168932458,2.367371066,208,50
5.146458838,2.367371066,208,50
5.26082459,2.367371066,208,50
4.763322064,2.367371066,208,50
5.249159791,2.367371066,208,50
5.08019542,2.367371066,208,50
4.717195354,3.754887502,208,50
4.475432065,3.754887502,208,50
3.743656533,3.754887502,208,50
5.164907156,3.754887502,208,50
5.108690479,3.754887502,208,50
4.26207435,3.754887502,208,50
5.489601611,3.754887502,208,50
4.039003907,2.584962501,208,50
4.624262076,2.584962501,208,50
4.607776294,2.584962501,208,50
4.778119225,2.584962501,208,50
4.388730901,2.584962501,208,50
3.97075653,2.584962501,208,50
4.840753747,2.584962501,208,50
5.755395683,4,208,50
3.734827264,4,208,50
4.987531172,4,208,50
6.134969325,4,208,50
5.333333333,4,208,50
5.532503458,4,208,50
2.711864407,4,208,50
4.376367615,4,208,50
5.208333333,4,208,50
4.414080066,2.807354922,208,50
4.240717405,2.807354922,208,50
4.056871275,2.807354922,208,50
4.798897303,2.807354922,208,50
3.71835089,2.807354922,208,50
5.058297157,2.807354922,208,50
4.122400767,2.807354922,208,50
3.157339855,3.510961919,208,50
3.638302507,3.510961919,208,50
4.62577328,3.510961919,208,50
5.271714594,3.510961919,208,50
5.671990177,3.510961919,208,50
3.853964785,3.510961919,208,50
5.23243207,3.510961919,208,50
6.624456451,3.510961919,208,50
4.219912773,2.367371066,208,50
5.168932458,2.367371066,208,50
5.146458838,2.367371066,208,50
5.26082459,2.367371066,208,50
4.763322064,2.367371066,208,50
5.249159791,2.367371066,208,50
5.08019542,2.367371066,208,50
4.717195354,3.754887502,208,50
4.475432065,3.754887502,208,50
3.743656533,3.754887502,208,50
5.164907156,3.754887502,208,50
5.108690479,3.754887502,208,50
4.26207435,3.754887502,208,50
5.489601611,3.754887502,208,50
4.039003907,2.584962501,208,50
4.624262076,2.584962501,208,50
4.607776294,2.584962501,208,50
4.778119225,2.584962501,208,50
4.388730901,2.584962501,208,50
3.97075653,2.584962501,208,50
4.840753747,2.584962501,208,50
5.755395683,4,208,50
3.734827264,4,208,50
4.987531172,4,208,50
6.134969325,4,208,50
5.333333333,4,208,50
5.532503458,4,208,50
2.711864407,4,208,50
4.376367615,4,208,50
5.208333333,4,208,50
4.414080066,2.807354922,208,50
4.240717405,2.807354922,208,50
4.056871275,2.807354922,208,50
4.798897303,2.807354922,208,50
3.71835089,2.807354922,208,50
5.058297157,2.807354922,208,50
4.122400767,2.807354922,208,50
3.157339855,3.510961919,208,50
3.638302507,3.510961919,208,50
4.62577328,3.510961919,208,50
5.271714594,3.510961919,208,50
5.671990177,3.510961919,208,50
3.853964785,3.510961919,208,50
5.23243207,3.510961919,208,50
6.624456451,3.510961919,208,50
4.219912773,2.367371066,208,50
5.168932458,2.367371066,208,50
5.146458838,2.367371066,208,50
5.26082459,2.367371066,208,50
4.763322064,2.367371066,208,50
5.249159791,2.367371066,208,50
5.08019542,2.367371066,208,50
4.717195354,3.754887502,208,50
4.475432065,3.754887502,208,50
3.743656533,3.754887502,208,50
5.164907156,3.754887502,208,50
5.108690479,3.754887502,208,50
4.26207435,3.754887502,208,50
5.489601611,3.754887502,208,50
4.039003907,2.584962501,208,50
4.624262076,2.584962501,208,50
4.607776294,2.584962501,208,50
4.778119225,2.584962501,208,50
4.388730901,2.584962501,208,50
3.97075653,2.584962501,208,50
4.840753747,2.584962501,208,50
5.755395683,4,208,50
3.734827264,4,208,50
4.987531172,4,208,50
6.134969325,4,208,50
5.333333333,4,208,50
5.532503458,4,208,50
2.711864407,4,208,50
4.376367615,4,208,50
5.208333333,4,208,50
4.414080066,2.807354922,208,50
4.240717405,2.807354922,208,50
4.056871275,2.807354922,208,50
4.798897303,2.807354922,208,50
3.71835089,2.807354922,208,50
5.058297157,2.807354922,208,50
4.122400767,2.807354922,208,50
